,player,team,age,position,Mins,Passing Accuracy,90s
0,Mohamed Salah,Liverpool,32,"AM(CLR),FW",2575,73.6,28.61111111111111
1,Bukayo Saka,Arsenal,23,"D(L),M(CLR)",1276,84.3,14.177777777777777
2,Alexander Isak,Newcastle,25,"AM(L),FW",2063,75.4,22.92222222222222
3,Cole Palmer,Chelsea,22,"AM(CR),FW",2448,82.3,27.2
4,Erling Haaland,Man City,24,FW,2484,66.4,27.6
5,Bryan Mbeumo,Brentford,25,"AM(LR),FW",2607,75.2,28.966666666666665
6,Matheus Cunha,Wolves,25,"AM(CL),FW",2148,77.7,23.866666666666667
7,Jérémy Doku,Man City,22,M(LR),1163,84.6,12.922222222222222
8,Bruno Fernandes Man Utd,,30,"M(CLR),FW",2380,80.4,26.444444444444443
9,Antoine Semenyo,Bournemouth,25,"AM(LR),FW",2471,77.3,27.455555555555556
10,Mark Travers,Bournemouth,25,GK,450,62.8,5.0
11,Luis Díaz,Liverpool,28,"AM(LR),FW",1861,86.0,20.677777777777777
12,Amad Diallo Man Utd,,22,M(CR),1595,85.2,17.72222222222222
13,Son Heung-Min,Tottenham,32,"M(CLR),FW",1865,84.0,20.72222222222222
14,Trent Alexander-Arnold,Liverpool,26,"D(R),DMC,M(R)",2158,78.2,23.977777777777778
15,Dwight McNeil,Everton,25,M(CLR),1143,81.4,12.7
16,Antonee Robinson,Fulham,27,"D(L),M(L)",2538,80.5,28.2
17,Daniel Muñoz,Crystal Palace,28,"D(CR),DMC,M(R)",2347,74.4,26.07777777777778
18,Mikkel Damsgaard,Brentford,24,AM(CL),2229,77.9,24.766666666666666
19,Brandon Austin,Tottenham,26,GK,90,66.7,1.0
20,Eberechi Eze,Crystal Palace,26,AM(CLR),1935,82.0,21.5
21,Jarrod Bowen,West Ham,28,"AM(CLR),FW",2191,79.1,24.344444444444445
22,Kai Havertz,Arsenal,25,"M(CR),FW",1842,79.9,20.466666666666665
23,Morgan Gibbs-White,Nottingham Forest,25,"AM(CLR),FW",2036,80.9,22.622222222222224
24,Nicolas Jackson,Chelsea,23,FW,1751,75.7,19.455555555555556
25,Mark Flekken,Brentford,31,GK,2466,73.0,27.4
26,Omar Marmoush,Man City,26,"AM(CL),FW",480,82.7,5.333333333333333
27,Virgil van Dijk,Liverpool,33,D(C),2610,91.9,29.0
28,Iliman Ndiaye,Everton,25,"AM(CLR),FW",1883,83.8,20.92222222222222
29,Anthony Gordon,Newcastle,24,"AM(CLR),FW",2124,79.6,23.6
30,Youri Tielemans,Aston Villa,27,M(C),2497,85.9,27.744444444444444
31,James Tarkowski,Everton,32,D(C),2602,82.0,28.91111111111111
32,Declan Rice,Arsenal,26,"D(C),DMC",2161,90.2,24.011111111111113
33,Chris Wood,Nottingham Forest,33,FW,2362,66.8,26.244444444444444
34,Ryan Gravenberch,Liverpool,22,DMC,2478,89.3,27.533333333333335
35,Alexis Mac Allister,Liverpool,26,"M(CL),FW",2120,87.6,23.555555555555557
36,Elliot Anderson,Nottingham Forest,22,M(CL),1993,82.3,22.144444444444446
37,Neto,Bournemouth,35,GK,180,61.1,2.0
38,James Maddison,Tottenham,28,AM(CLR),1529,85.7,16.988888888888887
39,Dominic Solanke,Tottenham,27,FW,1781,72.5,19.788888888888888
40,Carlos Alcaraz,Everton,22,"M(CL),FW",315,81.7,3.5
41,Maxence Lacroix,Crystal Palace,24,D(C),2246,82.0,24.955555555555556
42,Murillo,Nottingham Forest,22,D(C),2480,78.9,27.555555555555557
43,Aaron Wan-Bissaka,West Ham,27,"D(LR),M(R)",2435,81.8,27.055555555555557
44,Justin Kluivert,Bournemouth,25,"AM(CLR),FW",1952,79.3,21.68888888888889
45,Pedro Porro,Tottenham,25,"D(R),M(R)",2279,75.9,25.322222222222223
46,Ayden Heaven Man Utd,,18,Defender,96,81.6,1.0666666666666667
47,Alex Iwobi,Fulham,28,"D(R),M(CLR)",2373,79.4,26.366666666666667
48,Yoane Wissa,Brentford,28,"AM(L),FW",2120,81.1,23.555555555555557
49,Bruno Guimarães,Newcastle,27,DMC,2434,83.6,27.044444444444444
50,Josko Gvardiol,Man City,23,D(CL),2470,91.0,27.444444444444443
51,Moisés Caicedo,Chelsea,23,"D(R),DMC",2546,90.2,28.288888888888888
52,Dean Huijsen,Bournemouth,19,D(C),1690,84.3,18.77777777777778
53,Guglielmo Vicario,Tottenham,28,GK,1530,88.8,17.0
54,Marcus Rashford,Aston Villa,27,"AM(CLR),FW",201,81.2,2.2333333333333334
55,Dominik Szoboszlai,Liverpool,24,"AM(CLR),FW",1955,85.6,21.72222222222222
56,Callum Hudson-Odoi,Nottingham Forest,24,M(CLR),1907,89.3,21.18888888888889
57,Abdul Fatawu,Leicester,21,AM(LR),577,68.4,6.411111111111111
58,Savinho,Man City,20,AM(CLR),1572,86.7,17.466666666666665
59,Cristian Romero,Tottenham,26,D(C),1105,89.4,12.277777777777779
60,Mateo Kovacic,Man City,30,M(CL),1685,93.1,18.72222222222222
61,João Pedro,Brighton,23,"AM(CL),FW",1705,74.3,18.944444444444443
62,Nikola Milenkovic,Nottingham Forest,27,D(CR),2520,82.2,28.0
63,Nathan Collins,Brentford,23,D(CR),2610,86.9,29.0
64,Ben Davies,Tottenham,31,"D(CL),M(L)",721,89.9,8.011111111111111
65,Dejan Kulusevski,Tottenham,24,"AM(CR),FW",2155,81.1,23.944444444444443
66,Christian Nørgaard,Brentford,31,"D(C),DMC",2021,83.0,22.455555555555556
67,Lewis Hall,Newcastle,20,"D(L),M(L)",2193,85.4,24.366666666666667
68,Ibrahima Konaté,Liverpool,25,D(C),1898,90.4,21.08888888888889
69,Dango Ouattara,Bournemouth,23,"D(L),M(LR),FW",1518,67.1,16.866666666666667
70,Kaoru Mitoma,Brighton,27,M(L),2326,80.2,25.844444444444445
71,Gabriel Magalhães,Arsenal,27,D(C),2350,90.7,26.11111111111111
72,Ryan Christie,Bournemouth,30,"M(CLR),FW",2073,82.4,23.033333333333335
73,Thomas Partey,Arsenal,31,"D(R),M(CR)",2190,88.8,24.333333333333332
74,Marcus Tavernier,Bournemouth,26,M(CLR),1508,79.7,16.755555555555556
75,Cody Gakpo,Liverpool,25,"AM(CLR),FW",1412,84.2,15.688888888888888
76,Martin Ødegaard,Arsenal,26,AM(CR),1733,87.6,19.255555555555556
77,Enzo Fernández,Chelsea,24,M(C),2140,84.2,23.77777777777778
78,Trevoh Chalobah,Crystal Palace,25,"D(CR),DMC",1063,79.8,11.811111111111112
79,Jason Steele,Brighton,34,GK,180,89.5,2.0
80,Sven Botman,Newcastle,25,D(C),226,88.3,2.511111111111111
81,Djed Spence,Tottenham,24,"D(LR),M(R)",1064,87.9,11.822222222222223
82,Marc Guéhi,Crystal Palace,24,D(C),2430,83.4,27.0
83,Carlos Baleba,Brighton,21,DMC,1960,87.4,21.77777777777778
84,Joelinton,Newcastle,28,"AM(CLR),FW",2013,84.6,22.366666666666667
85,Lewis Cook,Bournemouth,28,"D(R),M(CL)",2392,81.8,26.57777777777778
86,Jean-Philippe Mateta,Crystal Palace,27,FW,2138,68.0,23.755555555555556
87,Jacob Murphy,Newcastle,30,"D(R),M(LR)",1691,75.9,18.788888888888888
88,Noni Madueke,Chelsea,23,"AM(R),FW",1464,84.6,16.266666666666666
89,Kevin De Bruyne,Man City,33,"M(CLR),FW",1104,83.8,12.266666666666667
90,William Saliba,Arsenal,24,D(C),2366,93.8,26.288888888888888
91,Tomás Soucek,West Ham,30,M(C),2088,74.5,23.2
92,Yankuba Minteh,Brighton,20,AM(R),1267,66.4,14.077777777777778
93,Kenny Tete,Fulham,29,"D(CR),M(R)",1266,83.0,14.066666666666666
94,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",1782,80.6,19.8
95,Lisandro Martínez Man Utd,,27,"D(CL),DMC",1754,90.0,19.488888888888887
96,Pervis Estupiñán,Brighton,27,"D(L),M(L)",1692,88.3,18.8
